,s_BMI,Mother_BMI,Father_BMI,student_bmi,father_bmi,mother_bmi
0,24.526817529732984,21.258468903403788,26.775510204081634,underweight,underweight,underweight
1,16.996110607917313,18.591130340724717,27.777777777777775,underweight,underweight,underweight
2,18.0448921707663,29.384756657483933,17.959183673469386,underweight,underweight,underweight
3,31.248513674197387,25.77777777777778,19.591836734693878,underweight,underweight,underweight
4,16.300154320987655,24.609374999999996,33.91003460207613,underweight,underweight,underweight
5,19.252643047856232,24.221453287197235,27.68166089965398,underweight,healthy,underweight
6,21.52809214828228,21.9671201814059,20.528921627822726,underweight,healthy,underweight
7,17.898185730353564,25.95155709342561,24.151672503320853,underweight,healthy,underweight
8,16.67803335606671,23.875114784205696,28.719723183391007,underweight,healthy,healthy
9,16.101115002213906,22.230987127541326,28.685144680698485,underweight,healthy,healthy
10,15.695540070354367,29.968782518210194,20.761245674740486,underweight,healthy,healthy
11,20.80637648154857,20.5456936226167,24.691358024691358,underweight,healthy,healthy
12,18.543442178859827,28.88888888888889,27.68166089965398,underweight,healthy,healthy
13,19.081632653061217,23.243408017070564,27.33564013840831,healthy,healthy,healthy
14,14.814814814814813,29.296874999999993,31.22130394857668,healthy,healthy,healthy
15,15.168,29.77777777777778,29.64951156330951,healthy,healthy,healthy
16,15.492178461847994,23.309053069719038,24.074074074074073,healthy,healthy,healthy
17,16.146069111211713,17.301038062283737,35.15624999999999,healthy,healthy,healthy
18,15.980680073344171,24.97398543184183,24.212293388429753,healthy,healthy,healthy
19,15.261396841738712,27.68166089965398,25.05930702662969,healthy,healthy,healthy
20,24.277685950413225,24.242424242424246,24.489795918367346,healthy,healthy,healthy
21,17.066849234681403,19.100091827364558,25.25951557093426,healthy,healthy,healthy
22,13.96333498491059,26.953124999999996,27.17063156623596,healthy,healthy,healthy
23,19.27855261022113,30.297783933518005,30.42184964845863,healthy,healthy,healthy
24,18.66308696842132,33.26706965799829,27.99036281179139,healthy,healthy,healthy
25,20.25462962962963,19.13265306122449,27.414453692693883,healthy,healthy,healthy
26,14.957817918327205,28.4078773121449,30.48337930033387,healthy,healthy,healthy
27,22.270765624167506,28.4078773121449,30.48337930033387,healthy,healthy,healthy
28,16.629957382475983,26.171874999999996,31.020408163265305,healthy,healthy,healthy
29,18.166761554784948,33.20312499999999,26.29757785467128,healthy,healthy,healthy
30,19.93652053164055,20.936639118457304,27.636054421768712,healthy,healthy,healthy
31,18.010204081632647,21.359914560341757,26.175194521137367,healthy,healthy,healthy
32,14.397610098473553,28.650137741046834,21.534908398614277,healthy,healthy,healthy
33,16.030299026731846,21.513858510523864,19.390581717451525,healthy,healthy,healthy
34,16.091061224578848,33.694937541091385,23.529411764705884,healthy,healthy,healthy
35,17.65755611909458,21.30394857667585,27.548209366391188,healthy,healthy,healthy
36,16.135455608227026,18.730489073881373,18.608223062381853,healthy,healthy,healthy
37,20.421507972436,22.313278429145196,26.953124999999996,healthy,healthy,healthy
38,14.913705920853806,20.820939916716245,25.592209980961893,healthy,healthy,healthy
39,16.85570258349086,22.8625344752504,23.18339100346021,healthy,healthy,healthy
40,13.085399449035812,29.384756657483933,29.72651605231867,healthy,healthy,healthy
41,21.0204081632653,31.239414355075468,36.9321237763993,healthy,healthy,healthy
42,19.684068331701685,27.343749999999996,25.05930702662969,healthy,healthy,healthy
43,18.907226406024677,32.87310979618672,24.577867151840145,healthy,healthy,healthy
44,14.814013840830444,23.555555555555557,23.140495867768596,healthy,healthy,healthy
45,17.907975777651252,23.875114784205696,24.221453287197235,healthy,healthy,healthy
46,15.009575073753945,36.73800674954077,24.48565200513601,healthy,healthy,healthy
47,14.974036952058931,17.71541950113379,20.06920415224914,healthy,healthy,healthy
48,18.061697479887048,28.720083246618103,28.367523664486843,healthy,healthy,healthy
49,18.047337278106507,27.915518824609737,24.221453287197235,healthy,healthy,healthy
50,16.852500368983883,24.609374999999996,34.013605442176875,healthy,healthy,healthy
51,19.393997301902548,22.031725684986377,27.428571428571427,healthy,healthy,healthy
52,15.51074078546606,20.39542143600416,22.54595907041276,healthy,healthy,healthy
53,16.68144189589082,22.28373702422146,30.864197530864196,healthy,healthy,healthy
54,14.368456226331027,26.171874999999996,25.71166207529844,healthy,healthy,healthy
55,14.246141669964382,25.95155709342561,31.992171327486922,healthy,healthy,healthy
56,14.650283553875234,23.437499999999996,24.221453287197235,healthy,healthy,healthy
57,18.57988165680473,29.384756657483933,22.145328719723185,healthy,healthy,healthy
58,14.020012437107805,29.017447199265384,31.960227272727273,healthy,healthy,healthy
59,16.21290515971797,30.48665738266401,28.042816593139772,healthy,healthy,healthy
60,16.562289736556075,22.031725684986377,26.775510204081634,healthy,healthy,healthy
61,18.123413149293718,20.811654526534856,22.944088878154812,healthy,healthy,healthy
62,17.909204498125785,27.555555555555557,24.489795918367346,healthy,healthy,healthy
63,26.93751923668821,22.21367849972233,23.510204081632654,healthy,healthy,healthy
64,16.818890621519266,26.989619377162633,27.68166089965398,healthy,healthy,healthy
65,16.331360946745562,28.88888888888889,34.602076124567475,healthy,healthy,healthy
66,19.390993850426504,32.81249999999999,29.320987654320987,healthy,healthy,healthy
67,19.607016360263113,33.29864724245577,28.055705786911847,healthy,healthy,healthy
68,18.814909494065528,21.30394857667585,24.489795918367346,healthy,healthy,healthy
69,17.107452357378357,22.582709172343712,28.344671201814062,healthy,healthy,healthy
70,20.383427387298152,29.384756657483933,32.2707877657858,healthy,healthy,healthy
71,15.636950794595055,25.153150229218223,24.221453287197235,healthy,healthy,healthy
72,19.827941415175616,34.894398530762174,40.26469661426421,healthy,healthy,healthy
73,17.00115688345657,27.548209366391188,33.60116873630387,healthy,healthy,healthy
74,24.075949861292163,22.408786769347305,27.769797950780426,healthy,healthy,healthy
75,15.000141819522655,25.236340330075304,23.18339100346021,healthy,healthy,healthy
76,25.506901929993948,28.124999999999993,23.836734693877553,healthy,healthy,healthy
77,16.111707841031148,17.21108680841909,24.38237297859371,healthy,healthy,healthy
78,19.622176077764195,20.904195011337873,26.122448979591837,healthy,healthy,healthy
79,15.379138483446065,22.060353798126947,27.041644131963228,healthy,healthy,healthy
